ID,Coordinates,500,1000,1500,2000,2500,500,1000,1500,2000,2500,500,1000,1500,2000,2500,50,100,150,200,250,500,1000,1500,2000,2500
33,"40.8583, -73.8848",2,3,6,10,18,2007,6794,11702,20485,32856,8.6369,35.9405,102.637,202.327,330.577,4,0,17,27,34,175,473,1249,1799,2410
34,"40.8593, -73.8675",2,4,8,10,17,952,4164,8148,18760,32806,8.82143,21.0476,38.881,81.5833,164.113,1,15,7,9,72,115,399,806,1385,2159
35,"40.826, -73.8619",2,3,8,14,18,4359,9802,16940,39449,57648,8.96429,61.869,100.786,171.732,256.304,1,4,17,19,24,190,600,928,1217,1605
36,"40.8485, -73.8834",1,1,9,18,25,2003,5728,15822,23437,32767,9.11905,46.4345,130.542,246.655,441.012,1,3,20,20,21,95,294,725,1454,2402
37,"40.882, -73.9026",3,5,6,7,13,2370,7737,14493,19898,25300,9.33929,37.8333,79.6786,129.619,228.185,0,7,2,9,17,67,539,900,1597,2543
38,"40.65, -73.9558",3,4,13,17,28,2022,3962,6115,9537,15072,9.41667,64.5357,149.679,292.286,537.417,0,0,1,1,17,154,836,1346,1913,3507
39,"40.8411, -73.8643",2,9,11,16,24,2287,6044,12904,26667,50177,9.5,60.3393,104.262,181.94,263.56,2,0,17,23,42,130,612,1036,1701,2191
40,"40.8693, -73.9075",1,3,10,14,17,3158,7330,15102,22726,31873,9.69048,93.2024,208.512,366.845,545.774,0,4,1,3,8,153,684,1591,2492,3434
41,"40.6487, -73.9715",2,7,14,20,27,519,1504,4748,7524,12651,9.77976,49.4048,135.863,315.738,578.196,1,6,6,10,12,94,406,1094,2198,3487
42,"40.8408, -73.8643",2,9,11,16,24,1149,5961,13084,28040,50643,10.1786,62.1786,105.143,182.685,263.988,1,3,23,23,42,153,654,964,1692,2189
43,"40.7025, -73.8547",2,2,3,6,15,1257,4267,6458,10565,16508,10.2024,30.8333,77.8095,147.274,237.018,23,23,23,23,23,56,237,610,900,1824
44,"40.6609, -73.9205",2,8,11,22,31,316,3134,7712,17929,29657,10.4226,47.3274,95.3393,187.577,350.94,3,11,13,15,40,169,341,855,1382,2554
45,"40.7029, -73.8553",2,2,3,5,13,1412,4515,6619,10565,16303,10.881,31.6488,86.7857,155.399,249.196,16,3,23,23,23,56,265,608,865,1855
46,"40.8807, -73.9102",2,5,7,10,12,2068,7641,14174,19481,23946,11.2798,57.9643,96.7143,151.667,312.393,8,1,22,38,41,123,692,999,1681,2406
47,"40.8357, -73.8704",4,8,11,18,21,1195,5760,17342,30937,45441,11.2917,91.3512,181.119,261.488,361.637,0,66,2,2,7,63,624,1098,1524,2124
48,"40.6503, -73.9558",3,5,14,17,27,1264,3932,6325,9559,14973,11.369,66.744,164.03,300.583,553.577,1,0,1,1,17,155,856,1298,2060,3403
49,"40.6625, -73.9196",2,5,11,20,33,483,2961,8050,18744,29939,11.6131,50.1607,103.095,213.72,396.744,0,2,25,31,39,193,470,942,1414,2748
50,"40.6771, -73.888",2,6,11,19,22,1054,3898,9690,16205,25406,11.9048,46.9167,77.2143,132.899,253.625,5,0,5,6,19,113,378,1107,2580,3028
51,"40.6602, -73.9313",2,4,10,19,33,1593,3461,6181,11651,23592,12.4702,57.625,138.089,287.738,631.631,2,3,3,4,5,36,196,836,1682,2687
52,"40.652, -74.0068",2,5,7,14,26,2076,12828,16485,26411,32564,13.7381,32.1607,59.8155,206.696,473.738,0,10,3,10,20,271,373,628,1092,2246
53,"40.6563, -73.9473",1,5,11,14,25,1899,4431,8534,10986,15503,14.244,75.7798,258.726,457.214,747.089,7,8,25,33,45,178,701,1365,1898,2904
54,"40.8592, -73.8911",1,5,6,12,19,1542,5904,12639,21297,34584,14.3036,64.5893,141.792,238.952,442.226,0,17,2,5,79,215,766,1212,1667,2608
55,"40.8359, -73.8904",1,2,7,15,24,954,4856,14729,27483,43799,14.9702,79.5179,224.024,447.47,772.524,0,0,0,2,24,69,182,580,934,2284
56,"40.8364, -73.8703",5,8,11,17,22,1429,6165,16569,30454,44836,15.0774,88.1667,173.946,254.512,360.417,1,12,1,3,3,43,630,1024,1520,2174
57,"40.6766, -73.8902",2,6,11,18,23,961,4903,10071,16084,25237,15.0893,49.2798,83.0833,151.22,276.53,0,3,10,16,95,122,362,786,2588,3100
58,"40.8799, -73.9102",2,4,7,10,12,2100,7682,14170,19944,24083,15.7143,61.1071,102.518,182.798,331.661,0,1,16,32,41,135,680,1066,1719,2416
59,"40.7064, -73.8771",1,2,2,8,10,687,3094,7084,12585,16468,16.5952,87.2798,167.804,384.548,805.488,0,5,0,0,4,6,179,406,731,1133
60,"40.6529, -74.0023",3,6,8,13,27,1407,12736,16189,22570,33691,16.9048,43.9881,111.065,343.518,733.089,2,3,4,18,49,177,398,570,1339,2739
61,"40.6626, -73.9315",2,4,10,19,30,1401,3350,6430,12404,22022,17.1905,70.8393,169.19,367.357,785.036,0,0,0,23,24,33,287,894,1546,2968
62,"40.681, -73.9032",3,6,9,15,24,1597,5449,9735,15456,21926,18.8929,85.8452,194.304,371.821,693.798,0,1,10,10,17,182,375,712,1268,2561
63,"40.6696, -73.9196",2,6,13,19,26,1059,3382,8449,17096,24887,19.9048,82.3274,189.56,386.44,692.339,0,1,0,2,3,49,474,1023,1990,2991
64,"40.6688, -73.9217",2,6,13,16,27,997,3063,8324,16203,24463,20.4048,78.0893,188.506,381.827,723.679,0,1,3,3,3,75,406,998,2000,3042
65,"40.8325, -73.8984",1,2,7,14,22,1170,5813,14827,26545,44606,20.869,73.0536,287.048,644.583,1023.93,0,1,0,0,0,19,164,738,1547,2882
66,"40.702, -73.8798",1,2,2,6,13,632,2320,6934,10407,17405,21.0774,54.5,165.512,345.851,671.125,3,0,14,17,17,26,72,301,676,1072
67,"40.843, -73.898",3,4,10,12,23,1976,5274,12752,24311,37003,21.0952,85.9583,236.869,460.726,769.577,1,0,1,1,11,29,135,500,1333,2138
68,"40.6824, -73.9057",2,6,9,14,21,1421,4639,9475,15880,22354,21.7024,105.452,247.125,460.946,846.982,1,4,4,5,5,179,376,812,1284,3189
69,"40.6795, -73.8996",4,7,9,15,24,2053,6152,10491,15423,22537,21.7143,64.7381,152.417,289.375,522.065,1,23,2,4,11,295,448,693,1216,2275
70,"40.7142, -73.8597",1,1,3,5,6,676,4709,6975,9872,14931,22.1667,71.6488,204.095,373.405,673.214,1,0,2,9,14,132,381,928,1593,2412
71,"40.7521, -73.8542",1,1,3,6,7,1204,14717,20123,31823,49962,22.6548,116.464,293.315,995.744,2873.85,0,2,21,22,23,37,550,650,995,2339
72,"40.833, -73.8629",2,8,12,14,22,944,6656,19394,37118,53798,22.6786,59.4464,132.94,194.464,274.369,0,7,33,162,249,345,800,1128,1408,1813
